s,gamma,eta,markov_final,memory_final,ratio,integrated_memory
0.5,0.0,0.0,0.6571975618531644,0.6571975618531644,1.0,0.5840418969738957
0.5,0.0,0.25,0.6571975618531644,0.6542486924077348,0.9955129635035249,0.5342424116972141
0.5,0.0,0.5,0.6571975618531644,0.6515982452464301,0.991480010073462,0.49868103375530876
0.5,0.0,1.0,0.6571975618531644,0.6468192679017609,0.9842082585910107,0.4500624997306397
0.5,0.05,0.0,0.5118259758038624,0.5118259758038624,1.0,0.5487653828602826
0.5,0.05,0.25,0.5118259758038624,0.5094310525819267,0.9953208251727078,0.5017217664779127
0.5,0.05,0.5,0.5118259758038624,0.5072870890050264,0.9911319725582366,0.46812938274665084
0.5,0.05,1.0,0.5118259758038624,0.5034282704712858,0.983592655063301,0.4221925743498005
0.5,0.2,0.0,0.24176947179377642,0.24176947179377642,1.0,0.4635105724804415
0.5,0.2,0.25,0.24176947179377642,0.24047585555869,0.9946493813900961,0.42338475287932276
0.5,0.2,0.5,0.24176947179377642,0.23933371312912602,0.9899252844183403,0.39469848485389025
0.5,0.2,1.0,0.24176947179377642,0.23728789636741335,0.9814634354241972,0.35541107292275775
0.5,0.5,0.0,0.053946060960346646,0.053946060960346646,1.0,0.3530661489151024
0.5,0.5,0.25,0.053946060960346646,0.053554182605834624,0.9927357373729275,0.32260933549620313
0.5,0.5,0.5,0.053946060960346646,0.053221663093883466,0.9865718116658109,0.3006521386906914
0.5,0.5,1.0,0.053946060960346646,0.05262639066792445,0.9755372260934448,0.27038301233928197
1.0,0.0,0.0,0.5913512721153961,0.5913512721153961,1.0,0.7001599415162946
1.0,0.0,0.25,0.5913512721153961,0.5890842341838254,0.9961663430206872,0.6072584910268357
1.0,0.0,0.5,0.5913512721153961,0.5873638335552671,0.9932570728293777,0.5529238239795826
1.0,0.0,1.0,0.5913512721153961,0.5850847770598769,0.989403091950572,0.48323641625691527
1.0,0.05,0.0,0.4605448337937419,0.4605448337937419,1.0,0.6648067033989298
1.0,0.05,0.25,0.4605448337937419,0.4587008311995421,0.9959960410824504,0.5750826319392938
1.0,0.05,0.5,0.4605448337937419,0.45731967506595456,0.9929970797821788,0.5230225749810063
1.0,0.05,1.0,0.4605448337937419,0.45553029822381286,0.9891117320139675,0.4568335455517823
1.0,0.2,0.0,0.21754597552183338,0.21754597552183338,1.0,0.5786373324259483
1.0,0.2,0.25,0.21754597552183338,0.21654486527730923,0.9953981670213721,0.4969616087808865
1.0,0.2,0.5,0.21754597552183338,0.21583001192426482,0.9921121795360616,0.45052571941349995
1.0,0.2,1.0,0.21754597552183338,0.2149810036848096,0.9882095183288446,0.39284899385285715
1.0,0.5,0.0,0.04854106835783309,0.04854106835783309,1.0,0.46478021506069134
1.0,0.5,0.25,0.04854106835783309,0.04823413990867135,0.9936769325532941,0.3947715797766398
1.0,0.5,0.5,0.04854106835783309,0.048047930038234724,0.9898408021026017,0.35596434123627807
1.0,0.5,1.0,0.04854106835783309,0.04790277156641933,0.9868503761246377,0.3094138235939609
2.0,0.0,0.0,0.5183826367789973,0.5183826367789973,1.0,0.7770153292131352
2.0,0.0,0.25,0.5183826367789973,0.5169481431653119,0.9972327514235455,0.617495304404065
2.0,0.0,0.5,0.5183826367789973,0.5156807000353145,0.9947877560859842,0.5384268069146713
2.0,0.0,1.0,0.5183826367789973,0.5131157632582672,0.9898397956508418,0.44714529170607886
2.0,0.05,0.0,0.40371680345410277,0.40371680345410277,1.0,0.7464346674106555
2.0,0.05,0.25,0.40371680345410277,0.40255827673095457,0.9971303480230792,0.5910209915983757
2.0,0.05,0.5,0.40371680345410277,0.4015386005527964,0.99460462660293,0.5149804500215643
2.0,0.05,1.0,0.40371680345410277,0.39945706176788637,0.9894486886605386,0.427433474950405
2.0,0.2,0.0,0.19070231473123628,0.19070231473123628,1.0,0.6706855252870918
2.0,0.2,0.25,0.19070231473123628,0.19009020852725136,0.9967902528878709,0.5255213387514835
2.0,0.2,0.5,0.19070231473123628,0.18955813504344127,0.994000179340206,0.45707766563461266
2.0,0.2,1.0,0.19070231473123628,0.18843146814717526,0.9880921918160175,0.378939327645932
2.0,0.5,0.0,0.042551438026657035,0.042551438026657035,1.0,0.567107044510918
2.0,0.5,0.25,0.042551438026657035,0.04238315532994671,0.9960451936640801,0.4362435441580086
2.0,0.5,0.5,0.042551438026657035,0.04224100633319156,0.9927045545847123,0.3783534397656191
2.0,0.5,1.0,0.042551438026657035,0.04188251703261586,0.9842797088638434,0.31337192897173316
