beta,h,final_rel_error,max_rel_error
0.5,0.2,0.015055603387851925,0.024793632640034428
0.5,0.1,0.0037601923936975523,0.0061916208800881205
0.5,0.05,0.000939815883375894,0.0015480747581691362
0.5,0.025,0.00023493945065370056,0.0003869918018408213
0.5,0.0125,5.873395503384524e-05,9.674640426215832e-05
1.0,0.2,0.004243320129777234,0.023670216280583623
1.0,0.1,0.0010582705940800098,0.005902228746792816
1.0,0.05,0.0002644079755650976,0.0014746013391065895
1.0,0.025,6.609201889065028e-05,0.0003685906253000761
1.0,0.0125,1.652238136152814e-05,9.21439249941433e-05
2.0,0.2,0.0012212484469431677,0.0225400257101789
2.0,0.1,0.00030520570287090906,0.005644136839094298
2.0,0.05,7.62947904156111e-05,0.0014092579874807251
2.0,0.025,1.9073283136149324e-05,0.00035220358625105583
2.0,0.0125,4.7682948829571705e-06,8.804799072705213e-05
