c,relative_perturbation,min_alpha_shift,median_alpha_shift,max_alpha_shift
1,1e-08,0.5409262022359627,0.5612127193529924,0.5795303791908715
1,1e-07,0.5761577679287664,0.5886914204728053,0.6033885952049121
1,1e-06,0.5935790373772001,0.621050048246804,0.6338583410044237
1,1e-05,0.6340518875570169,0.6500285550698599,0.6603343695164592
2,1e-08,1.3022901354861203,1.3328406230645884,1.346652923813905
2,1e-07,1.3228532907600175,1.3600372486415995,1.3987393437122
2,1e-06,1.394567392068505,1.4270149694254366,1.4456317636463845
2,1e-05,1.444836724164166,1.4742583954287403,1.4972754544738345
4,1e-08,2.8287470633289384,2.8741846446674204,2.914960004232913
4,1e-07,2.87991909662112,2.9630548068251645,2.995329835586011
4,1e-06,2.974478696149056,3.0641112308451044,3.1043482742709507
4,1e-05,3.1068368960560253,3.177254127091114,3.2109922305234275
